gene_feature,p_value
rna_DAB2IP,1.2328350668629508e-5
rna_TBL1X,1.2366131924007954e-5
rna_TPSD1,1.2380983340509143e-5
rna_USP31,1.2483048579803897e-5
rna_AKT3,1.2648836002508375e-5
rna_IVNS1ABP,1.2789473493932746e-5
rna_PRCP,1.3001314845033082e-5
rna_C1QTNF8,1.333729305954454e-5
rna_PSMA5,1.3361070316006201e-5
rna_TMPRSS11B,1.3418360317385221e-5
rna_PDK2,1.3539831345252127e-5
rna_KBTBD6,1.3676275421950957e-5
rna_KRT16,1.395944584193139e-5
rna_PREPL,1.397713159241876e-5
rna_ACE,1.4145963601426381e-5
rna_ECM1,1.4358606410178139e-5
rna_UBE2A,1.44087527287896e-5
rna_COL10A1,1.4454436954322457e-5
rna_INPPL1,1.4692949131627394e-5
rna_RUNX2,1.4772773737983477e-5
rna_DNASE1,1.5027184981074365e-5
